Server count,Servers energy,Total energy
1,2.200000,159.100000
5,5.800000,162.700000
9,9.500000,166.400000
13,13.100000,170.100000
17,16.700000,173.700000
21,20.900000,177.900000
25,25.200000,182.300000
29,29.100000,186.200000
33,32.700000,189.800000
37,36.300000,193.400000
41,40.200000,197.400000
45,44.300000,201.500000
49,48.100000,205.300000
53,52.300000,209.600000
57,56.000000,213.300000
61,60.000000,217.300000
65,63.800000,221.200000
69,67.600000,225.000000
73,71.300000,228.700000
77,75.000000,232.500000
81,78.600000,236.100000
85,81.900000,239.400000
89,85.400000,242.900000
93,89.200000,246.800000
97,93.400000,251.000000
101,98.000000,255.600000
105,102.300000,260.000000
109,106.300000,264.000000
113,109.900000,267.600000
117,113.800000,271.600000
121,118.400000,276.200000
125,122.700000,280.500000
129,128.900000,286.700000
133,133.500000,291.400000
137,135.900000,293.800000
141,140.000000,297.900000
145,143.900000,301.900000
149,147.500000,305.500000
153,150.900000,308.900000
157,153.100000,311.200000
161,156.700000,314.800000
165,161.400000,319.500000
169,167.000000,325.200000
173,171.200000,329.400000
177,175.000000,333.200000
181,180.700000,338.900000
185,184.300000,342.600000
189,188.900000,347.200000
193,193.800000,352.100000
197,197.800000,356.200000
